,IDENTIFIER,DAYS_ENGAGED,APPS_USED
4437,129753,11,18.0
4438,115687,2,4.0
4441,296474,2,
4442,205496,14,22.0
4444,154925,3,4.0
4446,268310,6,1.0
4451,180683,9,14.0
4452,113015,7,6.0
4458,324859,14,21.0
4460,108129,9,10.0
4466,122507,1,2.0
4468,118671,6,15.0
4471,269668,8,2.0
4472,284554,3,3.0
4488,201967,2,3.0
4492,306218,12,1.0
4494,318427,2,1.0
4502,218451,4,
4503,172611,5,1.0
4509,200080,2,5.0
4516,228354,2,2.0
4519,324183,10,6.0
4524,192805,1,
4527,137005,20,28.0
4529,111253,5,3.0
4530,251487,5,7.0
4532,239399,3,4.0
4533,307457,1,1.0
4545,216804,7,12.0
4546,157864,6,4.0
4550,287988,8,15.0
4551,101388,9,13.0
4559,255330,11,5.0
4561,131796,2,3.0
4564,149056,24,9.0
4569,120460,10,11.0
4575,113726,10,5.0
4576,207888,3,3.0
4577,176816,4,1.0
4579,175447,2,8.0
4586,233828,9,19.0
4591,232484,5,1.0
4593,128333,16,28.0
4594,267881,4,2.0
4596,295907,4,5.0
4599,243563,1,1.0
4602,278177,5,5.0
4608,297017,5,6.0
4610,125561,5,6.0
4612,150071,4,5.0
4613,104033,12,27.0
4620,146110,2,7.0
4624,108346,2,1.0
4627,100266,7,19.0
4634,268296,1,1.0
4636,124284,1,
4637,235717,4,7.0
4646,135309,5,1.0
4649,168737,5,9.0
4653,146319,8,7.0
4654,110993,18,38.0
4657,115266,12,11.0
4658,281308,2,2.0
4661,113906,15,28.0
4663,167285,2,1.0
4666,109305,14,8.0
4667,247828,15,11.0
4669,106530,7,5.0
4670,173596,1,1.0
4671,130581,12,27.0
4676,178622,7,11.0
4679,241165,10,12.0
4685,187795,1,1.0
4690,178140,12,27.0
4692,307434,17,51.0
4693,101817,9,15.0
4702,121888,3,36.0
4710,166523,1,4.0
4716,142044,6,31.0
4723,172946,3,2.0
4728,271879,1,
4729,161573,5,8.0
4734,160841,26,24.0
4736,117367,9,2.0
4743,205255,2,3.0
4745,293976,9,5.0
4748,245770,2,
4752,133109,4,6.0
4753,141467,4,4.0
4766,111681,2,4.0
